Index,Data available as of 15 Jauary 2014?,Data.Downloaded,CatalogID,LocID,iso.code,CountryName.UN,CountryName.DHS,StartYear,EndYear,Type,Phase,Recode,SurveyName,ShortName,Survey code,Name for labels,StartDate,EndDate,RefDate,ImplementingOrg,OfficialName,Births.Recode,Births.Raw,Couples.Recode,HH.Recode,HH.Raw,Height/WeightScores,Individual.Recode,Individual.Raw,Childrens.Recode,Childrens.Raw,Male.Recode,Male.Raw,HHMember.Recode,HHMember.Raw,Verbal.Autopsy,HIVTestData,Other Biomarkers,Wealth.Index,Service.Availability,Other,Download notes,Sample.Type.Female,Sample.Type.Male,Sample.Size.HH,Sample.Size.Female,Sample.Size.Male,Sample.Age.Female,Sample.Age.Male,Deaths.HH,Deaths.Causes,Verbal.Autopsy,Sibling.Female,Sibling.Male,Orphanhood.Female,Orphanhood.Male,Pregnancy.History,Health.Expenditures,Maternal.Mortality,Micronutrients,Migration,AIDS.Test,Geography,Availability,Child mort processed,Child mort indirect only,Siblings processed,PregRelCode,PregRelCode notes,Status,Survey Characteristics,Updated by,Updated on,Notes,Report citation
130,Yes,Y,1816,50,BGD,Bangladesh,Bangladesh,1999,2000,Standard DHS,DHS-IV,DHS-III,Bangladesh 1999-2000 Demographic and Health Survey,1999-2000 DHS,bd41,Bangladesh 1999-2000 DHS,01/11/1999,28/04/2000,30/01/2000,Mitra & Associates/ NIPORT,,bdbr41,NA,bdcr41,bdhr41,NA,bdhw41,bdir41,NA,bdkr41,NA,bdmr41,NA,bdpr41,NA,NA,NA,,bdwi41,NA,,,Ever Married,Currently Married,9854,10544,2556,10 to 49,15 to 59,,,N,N,N,,,,,N,,,,Y,,Y,,NA,,,,,,,,
140,Yes,Y,5047,50,BGD,Bangladesh,Bangladesh,2001,2001,Special,DHS-IV,,Bangladesh 2001 Maternal Health Services and Maternal Mortality Survey,2001 MMS,bd4a,Bangladesh 2001 Maternal Health Services DHS,09/01/2001,15/06/2001,28/03/2001,National Institute of Population Research and Training,,NA,NA,NA,NA,bdhh4a,NA,NA,bdiq4a,NA,NA,NA,NA,NA,NA,bdva4a,NA,,NA,NA,,,Ever Married,None,99202,103796,NA,13 to 49,NA,Y,,Y,Y,NA,,,,,Y,,,,,"**Datasets available, but they are not consistent with DHS recode files (RAW)",N - SPECIAL,,N - Special,,Special,,,,,,
150,Yes,Y,1813,50,BGD,Bangladesh,Bangladesh,2004,2004,Standard DHS,DHS-IV,DHS-IV,Bangladesh 2004 Demographic and Health Survey,2004 DHS,bd4j,Bangladesh 2004 DHS,02/01/2004,25/05/2004,14/03/2004,Mitra & Assoc.,,bdbr4j,NA,bdcr4j,bdhr4j,NA,bdhw4j,bdir4j,NA,bdkr4j,NA,bdmr4j,NA,bdpr4j,NA,bdva4i,NA,,NA,bdsq4i,,,Ever Married,All Men,10500,11440,4297,10 to 49,15 to 54,,,Y,N,N,,,,,N,,,Y,Y,,Y,,NA,,,,,,,,
160,Yes,Y,1840,50,BGD,Bangladesh,Bangladesh,2007,2007,Standard DHS,DHS-V,DHS-V,Bangladesh 2007 Demographic and Health Survey,2007 DHS,bd50,Bangladesh 2007 DHS,24/03/2007,11/08/2007,02/06/2007,National Institute of Population Research and Training,,bdbr51,NA,bdcr51,bdhr51,NA,NA,bdir51,NA,bdkr51,NA,bdmr51,NA,bdpr51,NA,NA,NA,,NA,bdsq51,,,Ever Married,Ever Married,10400,10996,3771,15 to 49,15 to 54,,,N,N,N,,,,,N,,,Y,Y,,Y,,NA,,,,,,,,
170,Yes,Y,5048,50,BGD,Bangladesh,Bangladesh,2011,2011,Standard DHS,DHS-VI,DHS-VI,Bangladesh 2011 Demographic and Health Survey,2011 DHS,bd61,Bangladesh 2011 DHS,10/07/2011,28/12/2011,04/10/2011,National Institute of Population Research and Training (NIPORT) and Mitra and Associates of Dhaka,,bdbr61,NA,bdcr61,bdhr61,NA,NA,bdir61,NA,bdkr61,NA,bdmr61,NA,bdpr61,NA,bdva61,NA,,NA,bdsq61,,,Ever Married,Ever Married,17141,17842,3997,12 to 49,15 to 54,,,Y,N,N,,,,,N,,,Y,Y,,N,,NA,,,,,,,,
180,Yes,Y,5787,50,BGD,Bangladesh,Bangladesh,2014,2014,Standard DHS,DHS-VI,DHS-VI,Bangladesh 2014 Demographic and Health Survey,2014 DHS,bd72,Bangladesh 2014 DHS,01/06/2014,11/11/2014,22/08/2014,National Institute of Population Research and Training (NIPORT) and Mitra and Associates of Dhaka,Bangladesh Demographic and Health Survey 2014,bdbr72,NA,NA,bdhr72,NA,NA,bdir72,NA,bdkr72,NA,NA,NA,bdpr72,NA,NA,NA,,NA,bdsq71,bdge71,Geographic Datasets downloaded: bdge71,Ever Married,None,17300,17863 ,NA,12 to 49,NA,,,,,,,,,,,,,,,,,,,,,,,SK,29-Aug-17,Corrections have been made to the Individual Recode data file (BDIR71). The changes implemented in the new version of the data (BDIR72) are as follows: V705 Partner's occupation: occupation codes were corrected. V717 Respondent's occupation: occupation codes were corrected.,"National Institute of Population Research and Training (NIPORT), Mitra and Associates, and ICF International. 2016. Bangladesh Demographic and Health Survey 2014. Dhaka, Bangladesh, and Rockville, Maryland, USA: NIPORT, Mitra and Associates, and ICF International. "
190,Yes,Y,,50,BGD,Bangladesh,Bangladesh,2014,2014,Standard DHS,DHS-VI,DHS-VI,Bangladesh 2014 Demographic and Health Survey,2014 DHS,,Bangladesh 2014 DHS,01/06/2014,11/11/2014,22/08/2014,National Institute of Population Research and Training (NIPORT) and Mitra and Associates of Dhaka,Bangladesh Demographic and Health Survey 2014,bdbr70,NA,NA,bdhr70,NA,NA,bdir70,NA,bdkr70,NA,NA,NA,bdpr70,NA,NA,NA,,NA,NA,,,Ever Married,None,17300,17863 ,NA,12 to 49,NA,,,,,,,,,,,,,,,,,,,,,,,SK,29-Aug-17,Don't use,"National Institute of Population Research and Training (NIPORT), Mitra and Associates, and ICF International. 2016. Bangladesh Demographic and Health Survey 2014. Dhaka, Bangladesh, and Rockville, Maryland, USA: NIPORT, Mitra and Associates, and ICF International. "
200,Yes,Y,1780,204,BEN,Benin,Benin,1996,1996,Standard DHS,DHS-III,DHS-III,Benin 1996 Demographic and Health Survey,1996 DHS,bj31,Benin 1996 DHS,04/06/1996,31/08/1996,18/07/1996,Inst. Nat. de la Statistique,Enquête démographique et de santé,bjbr31,NA,bjcr31,bjhr31,NA,bjhw31,bjir31,NA,bjkr31,NA,bjmr31,NA,bjpr31,NA,NA,NA,,bjwi31,bjsq38,,,All Women,All Men,4499,5491,1535,15 to 49,20 to 64,,,N,Y,N,,,,,Y,,,Y,Y,,Y,,Y,2;3;6,,,,,,,
210,Yes,Y,1761,204,BEN,Benin,Benin,2001,2001,Standard DHS,DHS-IV,DHS-IV,Benin 2001 Demographic and Health Survey,2001 DHS,bj41,Benin 2001 DHS,06/08/2001,14/11/2001,25/09/2001,INSAE,Enquête démographique et de santé,bjbr41,NA,bjcr41,bjhr41,NA,bjhw41,bjir41,NA,bjkr41,NA,bjmr41,NA,bjpr41,NA,NA,NA,,bjwi41,bjsq41,,,All Women,All Men,5769,6219,2709,15 to 49,15 to 64,,,N,N,N,,,,,N,,,Y,Y,,Y,,NA,,,,,,,,
220,Yes,Y,694,204,BEN,Benin,Benin,2006,2006,Standard DHS,DHS-V,DHS-V,Benin 2006 Demographic and Health Survey,2006 DHS,bj51,Benin 2006 DHS,02/08/2006,26/11/2006,29/09/2006,"National Institute of Statistics and Economic Analysis (INSAE) in collaboration with AIDS"" National Program (PNLA) for HIV testing component - See more at: http://dhsprogram.com/what-we-do/survey/survey-display-289.cfm#sthash.2YIoMEnZ.dpuf",Enquête démographique et de santé,bjbr51,NA,bjcr51,bjhr51,NA,NA,bjir51,NA,bjkr51,NA,bjmr51,NA,bjpr51,NA,NA,NA,,NA,NA,,,All Women,All Men,17511,17794,5321,15 to 49,15 to 64,,,N,Y,N,,,,,Y,,,,,,Y,,Y,2;3;6,,,,,,,
230,Yes,Y,4493,204,BEN,Benin,Benin,2011,2012,Standard DHS,DHS-VI,DHS-VI,Benin 2011-12 Demographic and Health Survey,2011 DHS,bj61,Benin 2011 DHS,07/12/2011,30/04/2012,17/02/2012,Inst. Nat. de la Statistique,Enquête démographique et de santé,bjbr61,NA,bjcr61,bjhr61,NA,NA,bjir61,NA,bjkr61,NA,bjmr61,NA,bjpr61,NA,NA,NA,NA,NA,NA,NA,,All Women,All Men,17422,16599,5180,15 to 49,15 to 64,,,N,N,N,,,,,N,,,Y,Y,,N,,N,,,,,,,,
240,Yes,Y,1768,68,BOL,Bolivia,Bolivia,1989,1989,Standard DHS,DHS-I,DHS-I,Bolivia 1989 Demographic and Health Survey,1989 DHS,bo01,Bolivia 1989 DHS,01/02/1989,01/07/1989,17/04/1989,Inst. Nacional de Estadistica,Encuesta Nacional de Demografía y Salud,bobr01,NA,NA,NA,bohh01,bohw01,boir01,NA,bokr01,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,All Women,None,8439,7923,NA,15 to 49,NA,,,N,Y,NA,,,,,Y,,,,,,Y,,N - Special,,"Special processing needed on S486 S487 S488 which are yes/no responses to died while pregnant, during delivery or soon after delivery",,,,,,
250,Yes,Y,1769,68,BOL,Bolivia,Bolivia,1994,1994,Standard DHS,DHS-III,DHS-III,Bolivia 1994 Demographic and Health Survey,1994 DHS,bo31,Bolivia 1994 DHS,04/11/1993,26/06/1994,01/03/1994,Inst. Nacional de Estadistica,Encuesta Nacional de Demografía y Salud,bobr31,NA,NA,bohr31,bohh33,bohw31,boir31,boiq33,bokr31,NA,NA,NA,bopr31,NA,NA,NA,,bowi31,bosq33,,,All Women,None,9114,8603,NA,15 to 49,NA,,,N,Y,NA,,,,,Y,,,,,,Y,,Y,2;3;6,,,,,,,
260,Yes,Y,1766,68,BOL,Bolivia,Bolivia,1998,1998,Standard DHS,DHS-III,DHS-III,Bolivia 1998 Demographic and Health Survey,1998 DHS,bo3b,Bolivia 1998 DHS,06/03/1998,22/09/1998,14/06/1998,Inst. Nacional de Estadistica,Encuesta Nacional de Demografía y Salud,bobr3b,NA,bocr3b,bohr3b,,bohw3b,boir3b,NA,bokr3b,NA,bomr3b,NA,bopr3b,NA,NA,NA,,bowi3b,NA,,,All Women,All Men,12109,11187,3780,15 to 49,15 to 64,,,N,N,N,,,,,N,,,,,,Y,,NA,,,,,,,,
270,Yes,Y,1844,68,BOL,Bolivia,Bolivia,2003,2003,Standard DHS,DHS-IV,DHS-IV,Bolivia 2003 Demographic and Health Survey,2003 DHS,bo41,Bolivia 2003 DHS,09/08/2003,15/01/2004,27/10/2003,"National Statistical Institute, INE",Encuesta Nacional de Demografía y Salud,bobr41,NA,bocr41,bohr41,NA,bohw41,boir41,NA,bokr41,NA,bomr41,NA,bopr41,NA,NA,NA,,NA,NA,,,All Women,All Men,19207,17654,6230,15 to 49,15 to 64,,,N,Y,N,,,,,Y,,,,,,Y,,Y,2;3;6,,,,,,,
280,Yes,Y,4492,68,BOL,Bolivia,Bolivia,2008,2008,Standard DHS,DHS-V,DHS-V,Bolivia 2008 Demographic and Health Survey,2008 DHS,bo51,Bolivia 2008 DHS,09/02/2008,25/06/2008,17/04/2008,"Instituto Nacional de Estadistica, Ministerio de Salud y Deportes, Programa Reforma de Salud e Instituto Nacional de Estadística - See more at: http://dhsprogram.com/what-we-do/survey/survey-display-319.cfm#sthash.7H3127HX.dpuf",,bobr51,NA,bocr51,bohr51,NA,NA,boir51,NA,bokr51,NA,bomr51,NA,bopr51,NA,NA,NA,,NA,NA,,,All Women,All Men,19564,16939,6054,15 to 49,15 to 64,,,N,Y,N,,,,,Y,,,Y,Y,,Y,,Y,2;3;6,,,,,,,
290,Restricted,N,1803,72,BWA,Botswana,Botswana,1988,1988,Standard DHS,DHS-I,DHS-I,Botswana 1988 Demographic and Health Survey,1988 DHS,,Botswana 1988 DHS,04/08/1988,13/12/1988,08/10/1988,Ministry of Health,Family Health Survey,,,,,,,NA,,,,,,,,,,,,,,Not in drop down list.,All Women,None,4473,4368,NA,15 to 49,NA,,,N,N,N,,,,,N,,,,,restricted data,N - RESTRICTED DATA,,NA,,,,,,,,
300,Yes,Y,1869,76,BRA,Brazil,Brazil,1986,1986,Standard DHS,DHS-I,DHS-I,Brazil 1986 Demographic and Health Survey,1986 DHS,br01,Brazil 1986 DHS,01/05/1986,15/09/1986,08/07/1986,Soc. Civil Bem-Estar Fam.,Pesquisa Nacional sobre Saúde Materno-Infantil e Planejamento Familiar,brbr01,NA,NA,NA,brhh02,brhw01,brir01,NA,brkr01,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,All Women,None,8408,5892,NA,15 to 44,NA,,,N,N,N,,,,,N,,,,Y,Data collected for women 15-44,Y,,NA,,,,,,,,
310,Yes,Y,2298,76,BRA,Brazil,Brazil,1991,1991,Standard DHS,DHS-II,DHS-II,Brazil 1991 Demographic and Health Survey,1991 DHS,br21,Brazil 1991 DHS,16/09/1991,31/12/1991,08/11/1991,Sociedad Civil Bem-Estar Familiar no Brasil (BEMFAM) - See more at: http://dhsprogram.com/what-we-do/survey/survey-display-85.cfm#sthash.3SkJhXxs.dpuf,,brbr21,NA,NA,brhr21,NA,NA,brir21,NA,brkr21,NA,NA,NA,brpr21,NA,NA,NA,,NA,NA,,,All Women,Husbands,6064,6222,1266,15 to 49,NA,,,N,N,N,,,,,N,,,,Y,,NA,,NA,,,,,,,,
320,Yes,Y,1868,76,BRA,Brazil,Brazil,1996,1996,Standard DHS,DHS-III,DHS-III,Brazil 1996 Demographic and Health Survey,1996 DHS,br31,Brazil 1996 DHS,26/02/1996,08/07/1996,02/05/1996,Soc. Civil Bem-Estar Fam.,Pesquisa Nacional sobre Demografia e Saúde,brbr31,NA,brcr31,brhr31,NA,brhw31,brir31,NA,brkr31,NA,brmr31,NA,brpr31,NA,NA,NA,,brwi31,NA,,,All Women,All Men,13283,12612,2949,15 to 49,15 to 59,,,N,Y,Y,,,,,Y,,,,Y,,Y,,Y,2;3;6,,,,,,,
330,Yes,Y,1776,854,BFA,Burkina Faso,Burkina Faso,1993,1993,Standard DHS,DHS-II,DHS-II,Burkina Faso 1992-1993 Demographic and Health Survey,1992-1993 DHS,bf21,Burkina Faso 1992-1993 DHS,04/12/1992,07/04/1993,04/02/1993,Inst. Nat. de la Stat. et de la Démo,Enquête démographique et de santé,bfbr21,NA,bfcr21,bfhr21,NA,bfhw21,bfir21,NA,bfkr21,NA,bfmr21,NA,bfpr21,NA,NA,NA,,bfwi21,bfsq22,,,All Women,All Men,5143,6354,1845,15 to 49,18 to XX,,,N,N,N,,,,,N,,,,Y,,Y,,NA,,,,,,,,
340,Yes,Y,1777,854,BFA,Burkina Faso,Burkina Faso,1998,1999,Standard DHS,DHS-III,DHS-III,Burkina Faso 1998-1999 Demographic and Health Survey,1998-1999 DHS,bf31,Burkina Faso 1998-1999 DHS,19/11/1998,10/03/1999,14/01/1999,Inst. Nat. de la Stat. et de la Démo.,Enquête démographique et de santé,bfbr31,NA,bfcr31,bfhr31,NA,bfhw31,bfir31,NA,bfkr31,NA,bfmr31,NA,bfpr31,NA,NA,NA,,bfwi31,NA,,,All Women,All Men,4812,6445,2641,15 to 49,15 to 59,,,N,Y,N,,,,,Y,,,,Y,,Y,,Y,2;3;6,,,,,,,
350,Yes,Y,1787,854,BFA,Burkina Faso,Burkina Faso,2003,2003,Standard DHS,DHS-IV,DHS-IV,Burkina Faso 2003 Demographic and Health Survey,2003 DHS,bf43,Burkina Faso 2003 DHS,15/06/2003,04/12/2003,09/09/2003,Institut National de la Statistique et de la dëmog,Enquête démographique et de santé,bfbr43,NA,bfcr41,bfhr43,NA,bfhw43,bfir43,NA,bfkr43,NA,bfmr41,NA,bfpr44,NA,NA,bfar41,,NA,NA,,,All Women,All Men,9097,12477,3605,15 to 49,15 to 59,,,N,Y,N,,,,,N,,,Y,Y,,Y,,Y,NA,Survey did not ask if sib death was pregnancy related,,,,,,
360,Yes,Y,4494,854,BFA,Burkina Faso,Burkina Faso,2010,2010,Standard DHS,DHS-VI,DHS-VI,Burkina Faso 2010 Demographic and Health Survey,2010 DHS,bf61,Burkina Faso 2010 DHS,20/05/2010,31/12/2010,09/09/2010,"Institut National de la Statistique et de la Démographie (INSD), of the Ministry of Economy and Plan (MOEP) in collaboration with the Ministry of Health (MOH)",,bfbr61,NA,bfcr61,bfhr61,NA,NA,bfir61,NA,bfkr61,NA,bfmr61,NA,bfpr61,NA,NA,bfar61,,NA,NA,,,All Women,All Men,14424,17087,7307,15 to 49,15 to 59,,,N,Y,N,,,,,Y,,,Y,Y,,Y,,Y,2;3;6,,,,,,,
370,Yes,Y,5777,854,BFA,Burkina Faso,Burkina Faso,2014,2014,MIS,DHS-VII,DHS-VI,Burkina Faso 2014 Malaria Indicator Survey,2014 MIS,bf70,Burkina Faso 2014 MIS,15/09/2014,15/10/2014,01/10/2014,Institute National de la Statistique et de la Demographie - INSD,,NA,NA,NA,bfhr70,NA,NA,bfir70,NA,bfkr70,NA,NA,NA,bfpr70,NA,NA,NA,NA,NA,NA,NA,,All Women,None,6448,8111,NA,15 to 49,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Yes,Y,1716,108,BDI,Burundi,Burundi,1987,1987,Standard DHS,DHS-I,DHS-I,Burundi 1987 Demographic and Health Survey,1987 DHS,bu01,Burundi 1987 DHS,01/03/1987,31/07/1987,16/05/1987,"Dép. de la Pop., Min. de I’Intérieur",Enquête démographique et de santé,bubr01,NA,NA,NA,buhh02,buhw01,buir02,NA,bukr01,NA,NA,NA,NA,NA,NA,NA,,NA,busq02,,,All Women,Husbands,3868,3970,542,15 to 49,NA,,,N,N,N,,,,,N,,,,Y,,Y,,NA,,,,,,,,
390,Yes,Y,4950,108,BDI,Burundi,Burundi,2010,2010,Standard DHS,DHS-VI,DHS-VI,Burundi 2010 Demographic and Health Survey,2010 DHS,bu61,Burundi 2010 DHS,31/08/2010,30/01/2011,15/11/2010,Institut de Statistiques et d'Études Économiques (ISTEEBU) - See more at: http://dhsprogram.com/what-we-do/survey/survey-display-346.cfm#sthash.Ke1upmYA.dpuf,,bubr61,NA,bucr61,buhr61,NA,NA,buir61,NA,bumr61,NA,bumr61,NA,bupr61,NA,NA,buar61,,NA,NA,,,All Women,All Men,8596,9389,4280,15 to 49,15 to 59,,,N,Y,N,,,,,Y,,,Y,Y,,N,,Y,2;3;6,,,,,,,
400,Yes,Y,5464,108,BDI,Burundi,Burundi,2012,2012,MIS,DHS-VI,DHS-VI,Burundi 2012 Malaria Indicator Survey,2012 MIS,bu6h,Burundi 2012 MIS,15/11/2012,15/01/2013,15/12/2012,Institut National de Statistique et d'Etudes Economiques (ISTEEBU),,NA,NA,NA,buhr6h,NA,NA,buir6h,NA,bukr6h,NA,NA,NA,bupr6h,NA,NA,NA,,,,,,All Women,None,4866,5149,NA,15 to 49,NA,,,,N,NA,,,,,,,,,,,,,,,,,,,,,
