Index,Data.available.as.of.24.May.2017,Data.Downloaded,CatalogID,LocID,iso.code,CountryName.UN,CountryName.MICS,StartYear,EndYear,Type,Phase,Recode,SurveyName,ShortName,Survey.code,Name.for.labels,StartDate,EndDate,RefDate,ImplementingOrg,OfficialName,Births.Recode,Births.Raw,Couples.Recode,HH.Recode,HH.Raw,Height.WeightScores,Individual.Recode,Individual.Raw,Childrens.Recode,Childrens.Raw,Male.Recode,Male.Raw,HHMember.Recode,HHMember.Raw,Verbal.Autopsy,HIVTestData,Other.Biomarkers,Wealth.Index,Service.Availability,Other,Download.notes,Sample.Type.Female.x,Sample.Type.Male,Sample.Size.HH,Sample.Size.Female,Sample.Size.Male,Sample.Age.Female,Sample.Age.Male,Deaths.HH,Deaths.Causes,Verbal.Autopsy.1,Sibling.Female,Sibling.Male,Orphanhood.Female,Orphanhood.Male,Pregnancy.History,Health.Expenditures,Maternal.Mortality,Genital.Mutilation,Abortion,Micronutrients,Migration,AIDS.Test,Geography,Availability,Child.mort.processed,Child.mort.indirect.only,Siblings.processed,PregRelCode,PregRelCode.notes,MosquitoNets,Functioning.Disability.Children.5.17,Global.Adults.Tobacco,Status,Reports,Updated.by,Updated.on,Notes,Sample.Type.Female,FieldWorkStart,FieldWorkEnd,FieldWorkMiddle
390,N,N,4431,384,CIV,Côte d'Ivoire,Côte d'Ivoire,1996,1996,NA,MICS1,MICS,Côte d'Ivoire 1996 Multiple Indicator Cluster Survey,1996 MICS,,Côte d'Ivoire 1996 MICS,1996,1996,1996.5,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Completed,Final,,,,NA,0,0,1996.5
1570,N,N,5677,466,MLI,Mali,Mali,2015,2015,NA,MICS5,MICS,Mali 2015 Multiple Indicator Cluster Survey,2015 MICS,ml5,Mali 2015 MICS,2015,2015,2015.5,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Report writing,Key findings,AD,17-Aug-16,,NA,2015-07-20,2015-10-21,2015.680054
150,N,N,NA,50,BGD,Bangladesh,Bangladesh,1993,1993,NA,MICS1,MICS,Bangladesh 1993 Multiple Indicator Cluster Survey,,bd1,Bangladesh 1993 MICS,1993,1993,NA,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Completed,Final,,,,NA,,,
160,N,N,NA,50,BGD,Bangladesh,Bangladesh,1995,1995,NA,MICS1,MICS,Bangladesh 1995 Multiple Indicator Cluster Survey,,bd2,Bangladesh 1995 MICS,1995,1995,NA,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Completed,Final,,,,NA,,,
600,N,N,NA,191,HRV,Croatia,Croatia,1996,1996,NA,MICS1,MICS,Croatia 1996 Multiple Indicator Cluster Survey,,,Croatia 1996 MICS,1996,1996,NA,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Completed,Final,,,,NA,,,
610,N,N,2896,192,CUB,Cuba,Cuba,2000,2000,NA,MICS2,MICS,Cuba 2000 Multiple Indicator Cluster Survey,2000 MICS,,Cuba 2000 MICS,2000,2000,2000.5,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Completed,Final,,,,NA,2000-07-01,2000-08-31,2000.579956
1020,N,N,NA,364,IRN,Iran (Islamic Republic of),"Iran, Islamic Republic of",1995,1995,NA,MICS1,MICS,Iran (Islamic Republic of) 1995 Multiple Indicator Cluster Survey,,,Iran (Islamic Republic of) 1995 MICS,1995,1995,NA,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Completed,Final,,,,NA,,,
1030,N,N,NA,364,IRN,Iran (Islamic Republic of),"Iran, Islamic Republic of",1997,1997,NA,MICS1,MICS,Iran (Islamic Republic of) 1997 Multiple Indicator Cluster Survey,,,Iran (Islamic Republic of) 1997 MICS,1997,1997,NA,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Completed,Final,,,,NA,,,
1040,N,N,NA,364,IRN,Iran (Islamic Republic of),"Iran, Islamic Republic of",2000,2000,NA,MICS2,MICS,Iran (Islamic Republic of) 2000 Multiple Indicator Cluster Survey,,,Iran (Islamic Republic of) 2000 MICS,2000,2000,NA,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Completed,Questionnaires,,,,NA,,,
1230,N,N,5803,408,PRK,Dem. People's Republic of Korea,"Korea, Democratic People's Republic of",1998,1998,NA,MICS1,MICS,Democratic People's Republic of Korea 1998 Multiple Indicator Cluster Survey,1998 MICS,,Democratic People's Republic of Korea 1998 MICS,1998,1998,1998.5,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Completed,Final,,,,NA,1998-07-01,1998-07-01,1998.5
1240,N,N,4436,408,PRK,Dem. People's Republic of Korea,"Korea, Democratic People's Republic of",2000,2000,NA,MICS2,MICS,Democratic People's Republic of Korea 2000 Multiple Indicator Cluster Survey,2000 MICS,,Democratic People's Republic of Korea 2000 MICS,2000,2000,2000.5,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Completed,Final,,,,NA,2000-05-08,2000-05-12,2000.359009
240,N,N,5761,84,BLZ,Belize,Belize,2015,2015,NA,MICS5,MICS,Belize 2015 Multiple Indicator Cluster Survey,2015 MICS,,Belize 2015 MICS,2015,2015,2015.5,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Report writing,Key findings,AD,07-Oct-16,,NA,2015-10-19,2016-01-31,2015.939941
250,N,N,5665,204,BEN,Benin,Benin,2014,2014,NA,MICS5,MICS,Benin 2014 Multiple Indicator Cluster Survey,2014 MICS,,Benin 2014 MICS,2014,2014,2014.5,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Report writing,Key findings,,,,NA,2014-05-01,2014-05-01,2014.329956
1090,N,N,5586,368,IRQ,Iraq,Iraq,2015,2015,NA,MICS5,MICS,Iraq 2014 Multiple Indicator Cluster Survey,2014 MICS,,Iraq 2014 MICS,2015,2015,2014.5,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Survey design,,AD,16-Jan-17,"Need to check if this has now changed to MICS6, 2017 and needs to be chagned? Or is this an entirely different survey?",NA,0,0,2017.5
270,N,N,NA,68,BOL,Bolivia (Plurinational State of),"Bolivia, Plurinational State of",1996,1996,NA,MICS1,MICS,Bolivia 1996 Multiple Indicator Cluster Survey,,,Bolivia 1996 MICS,1996,1996,NA,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Completed,Final,,,,NA,,,
NA,N,N,NA,NA,,,El Salvador,2019,NA,NA,MICS6,MICS,,,,,NA,NA,NA,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Survey Design,,AD,16-Jan-17,,NA,,,
1770,N,N,4457,104,MMR,Myanmar,"Myanmar, Republic of the Union of",1995,1995,NA,MICS1,MICS,Myanmar 1995 Multiple Indicator Cluster Survey,1995 MICS,,Myanmar 1995 MICS,1995,1995,1995.5,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Completed,Final,,,,NA,0,0,1995.5
680,N,N,4454,818,EGY,Egypt,Egypt,1996,1996,NA,MICS1,MICS,Egypt 1996 Multiple Indicator Cluster Survey,1996 MICS,,Egypt 1996 MICS,1996,1996,1996.5,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Completed,Final,,,,NA,1996-05-07,1996-06-21,1996.411011
1790,N,N,5016,104,MMR,Myanmar,"Myanmar, Republic of the Union of",2009,2010,NA,MICS3,MICS,Myanmar 2009-2010 Multiple Indicator Cluster Survey,2009-2010 MICS,,Myanmar 2009-2010 MICS,2009,2010,2010,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Completed,Final,,,,NA,2009-10-01,2010-03-31,2009.996948
710,N,N,NA,226,GNQ,Equatorial Guinea,Equatorial Guinea,1996,1996,NA,MICS1,MICS,Equatorial Guinea 1996 Multiple Indicator Cluster Survey,,,Equatorial Guinea 1996 MICS,1996,1996,NA,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Completed,,,,,NA,,,
340,N,N,NA,854,BFA,Burkina Faso,Burkina Faso,1996,1996,NA,MICS1,MICS,Burkina Faso 1996 Multiple Indicator Cluster Survey,,bf1,Burkina Faso 1996 MICS,1996,1996,NA,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Completed,Final,,,,NA,,,
730,N,N,NA,231,ETH,Ethiopia,Ethiopia,1995,1995,NA,MICS1,MICS,Ethiopia 1995 Multiple Indicator Cluster Survey,,et1,Ethiopia 1995 MICS,1995,1995,NA,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Completed,Final,,,,NA,,,
360,N,N,NA,108,BDI,Burundi,Burundi,1996,1996,NA,MICS1,MICS,Burundi 1996 Multiple Indicator Cluster Survey,,bu1,Burundi 1996 MICS,1996,1996,NA,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Completed,Final,,,,NA,,,
750,N,N,NA,270,GMB,Gambia,Gambia,1996,1996,NA,MICS1,MICS,Gambia 1996 Multiple Indicator Cluster Survey,,gm1,Gambia 1996 MICS,1996,1996,NA,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Completed,Final,,,,NA,,,
2910,N,N,NA,NA,N/A,N/A,"Yugoslavia, The Federal Republic of (including current Serbia and Montenegro)",1996,1996,NA,MICS1,MICS,"Yugoslavia, The Federal Republic of (including current Serbia and Montenegro) 1996 Multiple Indicator Cluster Survey",,,"Yugoslavia, The Federal Republic of (including current Serbia and Montenegro) 1996 MICS",1996,1996,NA,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Completed,Final,,,,NA,,,
2250,N,N,NA,NA,N/A,N/A,Somalia (Northeast Zone),1997,1997,NA,MICS1,MICS,Somalia (Northeast Zone) 1997 Multiple Indicator Cluster Survey,,,Somalia (Northeast Zone) 1997 MICS,1997,1997,NA,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Completed,Final,,,,NA,,,
780,N,N,4998,270,GMB,Gambia,Gambia,2010,2010,NA,MICS4,MICS,Gambia 2010 Multiple Indicator Cluster Survey,2010 MICS,gm4,Gambia 2010 MICS,2010,2010,2010.5,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Completed,Final,,,,NA,2010-04-01,2010-08-31,2010.459961
790,N,N,4437,268,GEO,Georgia,Georgia,1999,1999,NA,MICS2,MICS,Georgia 1999 Multiple Indicator Cluster Survey,1999 MICS,,Georgia 1999 MICS,1999,1999,1999.5,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Completed,Final,,,,NA,0,0,2000
460,N,N,NA,140,CAF,Central African Republic,Central African Republic,1996,1996,NA,MICS1,MICS,Central African Republic 1996 Multiple Indicator Cluster Survey,,cf1,Central African Republic 1996 MICS,1996,1996,NA,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Completed,Final,,,,NA,,,
810,N,N,4455,288,GHA,Ghana,Ghana,1995,1995,NA,MICS1,MICS,Ghana 1995 Multiple Indicator Cluster Survey,1995 MICS,gh1,Ghana 1995 MICS,1995,1995,1995.5,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Completed,Summary,,,,NA,1995-05-01,1995-05-31,1995.373047
1410,N,N,4434,430,LBR,Liberia,Liberia,1995,1995,NA,MICS1,MICS,Liberia 1995 Multiple Indicator Cluster Survey,1995 MICS,,Liberia 1995 MICS,1995,1995,1995.5,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Completed,Final,,,,NA,1995-03-20,1995-04-03,1995.235962
30,N,N,NA,NA,N/A,N/A,Afghanistan (8 Provinces),2003,2003,NA,MICS2,MICS,Afghanistan (8 Provinces) 2003 Multiple Indicator Cluster Survey,,,Afghanistan (8 Provinces) 2003 MICS,2003,2003,NA,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Completed,Final,,,,NA,,,
860,N,N,NA,324,GIN,Guinea,Guinea,1996,1996,NA,MICS1,MICS,Guinea 1996 Multiple Indicator Cluster Survey,,,Guinea 1996 MICS,1996,1996,NA,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Completed,Final,,,,NA,,,
2530,N,N,NA,NA,N/A,N/A,Syrian Arab Republic (Palestinian Refugee Camps and Gatherings),2006,2006,NA,MICS3,MICS,Syrian Arab Republic (Palestinian Refugee Camps and Gatherings) 2006 Multiple Indicator Cluster Survey,,,Syrian Arab Republic (Palestinian Refugee Camps and Gatherings) 2006 MICS,2006,2006,NA,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Completed,Final,,,,NA,,,
880,N,N,NA,624,GNB,Guinea-Bissau,Guinea-Bissau,1996,1996,NA,MICS1,MICS,Guinea-Bissau 1996 Multiple Indicator Cluster Survey,,,Guinea-Bissau 1996 MICS,1996,1996,NA,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Completed,Final,,,,NA,,,
530,N,N,NA,156,CHN,China,China,1995,1995,NA,MICS1,MICS,China 1995 Multiple Indicator Cluster Survey,,,China 1995 MICS,1995,1995,NA,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Completed,Final,,,,NA,,,
1200,Y,Y,NA,NA,N/A,N/A,Kenya (Mombasa Informal Settlements),2009,2009,NA,MICS4,MICS,Kenya (Mombasa Informal Settlements) 2009 Multiple Indicator Cluster Survey,,,Kenya (Mombasa Informal Settlements) 2009 MICS,2009,2009,NA,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Completed,Final,,,,NA,,,
